type	latitude	longitude	altitude (m)	name
T	37.7673300	-122.4177000	6.7	Route (3.1 mi / 1 hour 4 mins)
T	37.7687500	-122.4177900	7.0	
T	37.7697600	-122.4177100	7.0	
T	37.7704000	-122.4176000	7.4	
T	37.7707400	-122.4178100	8.1	
T	37.7752500	-122.4192400	16.0	
T	37.7782600	-122.4197800	20.0	
T	37.7801000	-122.4201800	22.2	
T	37.7820100	-122.4205000	29.2	
T	37.7829100	-122.4207500	35.2	
T	37.7838700	-122.4209000	40.1	
T	37.7890000	-122.4219300	56.9	
T	37.7928200	-122.4227800	60.0	
T	37.7985600	-122.4239200	29.9	
T	37.7985600	-122.4239200	29.9	
T	37.7968800	-122.4371400	17.7	
T	37.7968800	-122.4371400	17.7	
T	37.7992100	-122.4376100	10.5	
